OverallQual,YearBuilt,YearRemodAdd,GarageArea,1stFlrSF,TotalBsmtSF,GrLivArea,GarageCars,Fireplaces,TotRmsAbvGrd,FullBath,MSZoning,GarageType,Neighborhood,Condition1,Condition2,ExterQual,BsmtQual,KitchenQual,GarageQual,GarageFinish,SaleType,SaleCondition,FireplaceQu,RoofMatl,Exterior1st,Exterior2nd,Foundation,MiscFeature,PoolQC,Electrical,HeatingQC,Heating,BsmtExposure,BsmtCond,ExterCond,BsmtFinType1,BsmtFinType2,SalePrice
7,2003,2003,548,856,856,1710,2,0,8,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,208500
6,1976,1976,460,1262,1262,1262,2,1,6,2,RL,Attchd,Veenker,Feedr,Norm,TA,Gd,TA,TA,RFn,WD,Normal,TA,CompShg,MetalSd,MetalSd,CBlock,Unknown,Unknown,SBrkr,Ex,GasA,Gd,TA,TA,ALQ,Unf,181500
7,2001,2002,608,920,920,1786,2,1,6,2,RL,Attchd,CollgCr,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,TA,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Mn,TA,TA,GLQ,Unf,223500
7,1915,1970,642,961,756,1717,3,1,7,1,RL,Detchd,Crawfor,Norm,Norm,TA,TA,Gd,TA,Unf,WD,Abnorml,Gd,CompShg,Wd Sdng,Wd Shng,BrkTil,Unknown,Unknown,SBrkr,Gd,GasA,No,Gd,TA,ALQ,Unf,140000
8,2000,2000,836,1145,1145,2198,3,1,9,2,RL,Attchd,NoRidge,Norm,Norm,Gd,Gd,Gd,TA,RFn,WD,Normal,TA,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,GLQ,Unf,250000
5,1993,1995,480,796,796,1362,2,0,5,1,RL,Attchd,Mitchel,Norm,Norm,TA,Gd,TA,TA,Unf,WD,Normal,Unknown,CompShg,VinylSd,VinylSd,Wood,Shed,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,143000
8,2004,2005,636,1694,1686,1694,2,1,7,2,RL,Attchd,Somerst,Norm,Norm,Gd,Ex,Gd,TA,RFn,WD,Normal,Gd,CompShg,VinylSd,VinylSd,PConc,Unknown,Unknown,SBrkr,Ex,GasA,Av,TA,TA,GLQ,Unf,307000
7,1973,1973,484,1107,1107,2090,2,2,7,2,RL,Attchd,NWAmes,PosN,Norm,TA,Gd,TA,TA,RFn,WD,Normal,TA,CompShg,HdBoard,HdBoard,CBlock,Shed,Unknown,SBrkr,Ex,GasA,Mn,TA,TA,ALQ,BLQ,200000
7,1931,1950,468,1022,952,1774,2,2,8,2,RM,Detchd,OldTown,Artery,Norm,TA,TA,TA,Fa,Unf,WD,Abnorml,TA,CompShg,BrkFace,Wd Shng,BrkTil,Unknown,Unknown,FuseF,Gd,GasA,No,TA,TA,Unf,Unf,129900
5,1939,1950,205,1077,991,1077,1,2,5,1,RL,Attchd,BrkSide,Artery,Artery,TA,TA,TA,Gd,RFn,WD,Normal,TA,CompShg,MetalSd,MetalSd,BrkTil,Unknown,Unknown,SBrkr,Ex,GasA,No,TA,TA,GLQ,Unf,118000
